size,sparsity,actual_sparsity,method,avg_time,std_time,min_time,max_time,avg_memory_mb,max_memory_mb
500,99.0,99.028,Dense (NumPy),0.003614699972483019,0.000163633868896731,0.003426899900659919,0.003825700026936829,0.63671875,1.91015625
1000,50.0,50.1019,CSR Format,0.5125910666926453,0.024217485455239128,0.49115779995918274,0.5464419000782073,3.8177083333333335,11.453125
1000,50.0,50.1019,CSC Format,0.5197006999903048,0.001267582457367008,0.5179275999544188,0.5208158000605181,3.81640625,11.44921875
1000,50.0,50.1019,Dense (NumPy),0.024790799982535344,0.0005516177752906211,0.024058599956333637,0.02538999996613711,2.5442708333333335,7.6328125
1000,70.0,70.1128,CSR Format,0.19100370001979172,0.012020038667449258,0.1822479999391362,0.20800000010058284,3.81640625,11.44921875
1000,70.0,70.1128,CSC Format,0.1954178666540732,0.00874957505428537,0.18392350000794977,0.20513270003721118,3.81640625,11.44921875
1000,70.0,70.1128,Dense (NumPy),0.02506333329559614,0.0013876994988605198,0.023258299916051328,0.026632900000549853,2.5442708333333335,7.6328125
1000,90.0,90.023,CSR Format,0.038343099993653595,0.0024862596890983125,0.03640320000704378,0.04185269994195551,3.81640625,11.44921875
1000,90.0,90.023,CSC Format,0.03508619999047369,0.0004121184661524698,0.03476539999246597,0.0356679999968037,3.81640625,11.44921875
1000,90.0,90.023,Dense (NumPy),0.02296960000724842,0.0011598103747936471,0.021999199991114438,0.024600000004284084,2.5442708333333335,7.6328125
1000,95.0,94.9889,CSR Format,0.020240666655202705,0.00019624984723107125,0.01996469998266548,0.020404199953190982,3.5013020833333335,10.50390625
1000,95.0,94.9889,CSC Format,0.02053666669720163,0.00020808192620629172,0.02036770002450794,0.02082980005070567,3.5,10.5
1000,95.0,94.9889,Dense (NumPy),0.022180333306702476,0.0008934533029507008,0.021033599972724915,0.023213199921883643,2.5442708333333335,7.6328125
1000,99.0,99.0047,CSR Format,0.0009971666537846129,0.00022290693676635772,0.0007804998895153403,0.0013038000324741006,0.3268229166666667,0.98046875
1000,99.0,99.0047,CSC Format,0.0008997666882351041,0.00012675601066979646,0.0007579000666737556,0.001065600081346929,0.11588541666666667,0.34765625
1000,99.0,99.0047,Dense (NumPy),0.02361563337035477,0.0015637832026359076,0.02160620002541691,0.02542020007967949,2.5442708333333335,7.6328125
2000,50.0,50.006125000000004,CSR Format,4.1757185333408415,0.04101613512201208,4.117837200057693,4.207945300033316,15.272135416666666,45.8125
2000,50.0,50.006125000000004,CSC Format,4.091542400031661,0.005558461112232665,4.086632100050338,4.09931369998958,15.260416666666666,45.78125
2000,50.0,50.006125000000004,Dense (NumPy),0.15386280002227673,0.006006858050285077,0.14883750001899898,0.1623070000205189,10.173177083333334,30.51953125
2000,70.0,69.997475,CSR Format,1.6870913333259523,0.037103780513899585,1.635112899937667,1.7193029000191018,15.260416666666666,45.78125
2000,70.0,69.997475,CSC Format,1.6566212333273143,0.017101918230472805,1.6418558000586927,1.6805930999107659,15.260416666666666,45.78125
2000,70.0,69.997475,Dense (NumPy),0.15115800003210703,0.003095612919202993,0.14854960003867745,0.15550710004754364,10.173177083333334,30.51953125
